RECORD,Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),AVG_FPS
1,20201230_062451,57,1011,17.73684211,5.64E+01
2,20201230_062452,59,1000,16.94915254,5.90E+01
3,20201230_062453,58,1001,17.25862069,5.79E+01
4,20201230_062454,59,1000,16.94915254,5.90E+01
5,20201230_062455,58,1000,17.24137931,5.80E+01
6,20201230_062456,59,1001,16.96610169,5.89E+01
7,20201230_062457,55,1005,18.27272727,5.47E+01
8,20201230_062458,61,1012,16.59016393,6.03E+01
9,20201230_062459,60,1000,16.66666667,6.00E+01
10,20201230_062500,60,1001,16.68333333,5.99E+01
11,20201230_062501,60,1016,16.93333333,5.91E+01
12,20201230_062502,59,1000,16.94915254,5.90E+01
13,20201230_062503,60,1000,16.66666667,6.00E+01
14,20201230_062504,60,1000,16.66666667,6.00E+01
15,20201230_062505,60,1000,16.66666667,6.00E+01
16,20201230_062506,59,1003,17,5.88E+01
17,20201230_062507,61,1015,16.63934426,6.01E+01
18,20201230_062508,60,1000,16.66666667,6.00E+01
19,20201230_062509,59,1000,16.94915254,5.90E+01
20,20201230_062510,60,1000,16.66666667,6.00E+01
21,20201230_062511,59,1000,16.94915254,5.90E+01
22,20201230_062512,60,1000,16.66666667,6.00E+01
23,20201230_062513,60,1011,16.85,5.93E+01
24,20201230_062514,61,1006,16.49180328,6.06E+01
25,20201230_062515,59,1002,16.98305085,5.89E+01
26,20201230_062516,61,1015,16.63934426,6.01E+01
27,20201230_062517,60,1000,16.66666667,6.00E+01
28,20201230_062518,60,1000,16.66666667,6.00E+01
29,20201230_062519,60,1004,16.73333333,5.98E+01
30,20201230_062520,60,1013,16.88333333,5.92E+01
31,20201230_062521,60,1001,16.68333333,5.99E+01
32,20201230_062522,61,1016,16.6557377,6.00E+01
33,20201230_062523,60,1000,16.66666667,6.00E+01
34,20201230_062524,60,1001,16.68333333,5.99E+01
35,20201230_062525,59,1000,16.94915254,5.90E+01
36,20201230_062526,60,1001,16.68333333,5.99E+01
37,20201230_062527,59,1000,16.94915254,5.90E+01
38,20201230_062528,60,1000,16.66666667,6.00E+01
39,20201230_062529,59,1000,16.94915254,5.90E+01
40,20201230_062530,60,1000,16.66666667,6.00E+01
41,20201230_062531,60,1001,16.68333333,5.99E+01
42,20201230_062532,60,1000,16.66666667,6.00E+01
43,20201230_062533,60,1000,16.66666667,6.00E+01
44,20201230_062534,60,1000,16.66666667,6.00E+01
45,20201230_062535,60,1000,16.66666667,6.00E+01
46,20201230_062536,60,1000,16.66666667,6.00E+01
47,20201230_062537,60,1000,16.66666667,6.00E+01
48,20201230_062538,59,1000,16.94915254,5.90E+01
49,20201230_062539,60,1001,16.68333333,5.99E+01
50,20201230_062540,60,1016,16.93333333,5.91E+01
51,20201230_062541,60,1000,16.66666667,6.00E+01
52,20201230_062542,60,1002,16.7,5.99E+01
53,20201230_062543,61,1015,16.63934426,6.01E+01
54,20201230_062544,60,1000,16.66666667,6.00E+01
55,20201230_062545,59,1000,16.94915254,5.90E+01
56,20201230_062546,60,1000,16.66666667,6.00E+01
57,20201230_062547,59,1001,16.96610169,5.89E+01
58,20201230_062548,61,1016,16.6557377,6.00E+01
59,20201230_062549,59,1000,16.94915254,5.90E+01
60,20201230_062550,60,1000,16.66666667,6.00E+01
61,20201230_062551,59,1001,16.96610169,5.89E+01
62,20201230_062552,60,1000,16.66666667,6.00E+01
63,20201230_062554,18,1292,71.77777778,1.39E+01
64,20201230_062555,40,1615,40.375,2.48E+01
65,20201230_062557,33,1454,44.06060606,2.27E+01
66,20201230_062558,30,1361,45.36666667,2.20E+01
67,20201230_062600,31,1365,44.03225806,2.27E+01
68,20201230_062601,29,1341,46.24137931,2.16E+01
69,20201230_062602,30,1348,44.93333333,2.23E+01
70,20201230_062603,31,1221,39.38709677,2.54E+01
71,20201230_062605,33,1463,44.33333333,2.26E+01
72,20201230_062606,33,1472,44.60606061,2.24E+01
73,20201230_062608,33,1467,44.45454545,2.25E+01
74,20201230_062609,33,1463,44.33333333,2.26E+01
75,20201230_062610,39,1007,25.82051282,3.87E+01
76,20201230_062611,38,1000,26.31578947,3.80E+01
77,20201230_062612,39,1016,26.05128205,3.84E+01
78,20201230_062613,38,1001,26.34210526,3.80E+01
79,20201230_062616,7,2155,307.8571429,3.25E+00
80,20201230_062618,39,2657,68.12820513,1.47E+01
81,20201230_062621,39,2662,68.25641026,1.47E+01
82,20201230_062623,36,1719,47.75,2.09E+01
83,20201230_062624,36,1830,50.83333333,1.97E+01
84,20201230_062626,37,1631,44.08108108,2.27E+01
85,20201230_062628,37,1651,44.62162162,2.24E+01
86,20201230_062629,36,1630,45.27777778,2.21E+01
87,20201230_062631,40,2091,52.275,1.91E+01
88,20201230_062633,39,2069,53.05128205,1.88E+01
89,20201230_062636,41,2097,51.14634146,1.96E+01
90,20201230_062637,37,1644,44.43243243,2.25E+01
91,20201230_062639,38,1665,43.81578947,2.28E+01
92,20201230_062641,45,2574,57.2,1.75E+01
93,20201230_062644,42,2653,63.16666667,1.58E+01
94,20201230_062646,41,1610,39.26829268,2.55E+01
95,20201230_062647,41,1620,39.51219512,2.53E+01
96,20201230_062649,40,1588,39.7,2.52E+01
97,20201230_062651,44,2361,53.65909091,1.86E+01
98,20201230_062654,45,2386,53.02222222,1.89E+01
99,20201230_062655,61,1014,16.62295082,6.02E+01
100,20201230_062656,59,1001,16.96610169,5.89E+01
101,20201230_062657,58,1000,17.24137931,5.80E+01
102,20201230_062658,59,1000,16.94915254,5.90E+01
103,20201230_062659,60,1000,16.66666667,6.00E+01
104,20201230_062700,59,1001,16.96610169,5.89E+01
105,20201230_062701,58,1000,17.24137931,5.80E+01
106,20201230_062702,59,1000,16.94915254,5.90E+01
107,20201230_062703,58,1001,17.25862069,5.79E+01
108,20201230_062704,59,1000,16.94915254,5.90E+01
109,20201230_062705,59,1000,16.94915254,5.90E+01
110,20201230_062706,58,1001,17.25862069,5.79E+01
111,20201230_062707,60,1000,16.66666667,6.00E+01
112,20201230_062708,58,1000,17.24137931,5.80E+01
113,20201230_062709,59,1000,16.94915254,5.90E+01
114,20201230_062710,60,1000,16.66666667,6.00E+01
115,20201230_062711,58,1001,17.25862069,5.79E+01
116,20201230_062712,59,1000,16.94915254,5.90E+01
117,20201230_062713,59,1000,16.94915254,5.90E+01
118,20201230_062714,59,1001,16.96610169,5.89E+01
119,20201230_062715,60,1000,16.66666667,6.00E+01
120,20201230_062716,59,1000,16.94915254,5.90E+01
121,20201230_062717,60,1000,16.66666667,6.00E+01
122,20201230_062718,59,1001,16.96610169,5.89E+01
123,20201230_062719,59,1000,16.94915254,5.90E+01
124,20201230_062720,58,1001,17.25862069,5.79E+01
125,20201230_062721,60,1021,17.01666667,5.88E+01
126,20201230_062722,61,1012,16.59016393,6.03E+01
127,20201230_062723,59,1001,16.96610169,5.89E+01
128,20201230_062724,59,1000,16.94915254,5.90E+01
129,20201230_062725,58,1000,17.24137931,5.80E+01
130,20201230_062726,60,1000,16.66666667,6.00E+01
131,20201230_062727,58,1001,17.25862069,5.79E+01
132,20201230_062728,59,1000,16.94915254,5.90E+01
133,20201230_062729,58,1000,17.24137931,5.80E+01
134,20201230_062730,58,1000,17.24137931,5.80E+01
135,20201230_062731,59,1001,16.96610169,5.89E+01
136,20201230_062732,59,1003,17,5.88E+01
137,20201230_062733,58,1008,17.37931034,5.75E+01
138,20201230_062734,61,1006,16.49180328,6.06E+01
139,20201230_062735,58,1000,17.24137931,5.80E+01
140,20201230_062736,59,1002,16.98305085,5.89E+01
141,20201230_062737,60,1016,16.93333333,5.91E+01
142,20201230_062738,59,1000,16.94915254,5.90E+01
143,20201230_062739,58,1001,17.25862069,5.79E+01
144,20201230_062740,59,1000,16.94915254,5.90E+01
145,20201230_062741,59,1001,16.96610169,5.89E+01
146,20201230_062742,58,1000,17.24137931,5.80E+01
147,20201230_062743,59,1000,16.94915254,5.90E+01
148,20201230_062744,58,1000,17.24137931,5.80E+01
149,20201230_062745,59,1001,16.96610169,5.89E+01
150,20201230_062746,60,1000,16.66666667,6.00E+01
151,20201230_062747,59,1001,16.96610169,5.89E+01
152,20201230_062748,59,1000,16.94915254,5.90E+01
153,20201230_062749,60,1000,16.66666667,6.00E+01
154,20201230_062750,59,1000,16.94915254,5.90E+01
155,20201230_062751,58,1001,17.25862069,5.79E+01