RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,109,106,109,125,125,114.8,114.8
2,109,109,112,105,116,110.2,111.35
3,106,106,113,90.6,116,106.32,107.58
4,106,109,132,106,112,113,111.64
5,116,116,112,106,125,115,114.16
6,118,113,112,122,124,117.8,116.89
7,125,116,109,109,112,114.2,114.87
8,116,122,112,116,125,118.2,117.37
9,103,103,110,116,109,108.2,110.49
10,122,112,122,117,112,117,115.37
11,103,106,112,109,112,108.4,110.14
12,109,106,112,116,116,111.8,111.39
13,115,112,112,109,112,112,111.85
14,106,125,103,112,109,111,111.21
15,134,109,115,116,109,116.6,115.25
16,106,112,113,116,112,111.8,112.66
17,109,108,103,122,112,110.8,111.27
18,109,109,112,118,116,112.8,112.42
19,109,115,112,116,103,111,111.35
20,116,119,116,109,125,117,115.59
21,106,119,112,116,119,114.4,114.7
22,115,109,115,112,116,113.4,113.72
23,121,112,106,109,125,114.6,114.38
24,109,125,121,112,112,115.8,115.45
25,109,125,118,118,106,115.2,115.26
26,128,105,112,110,121,115.2,115.22
27,124,128,121,112,112,119.4,118.35
28,112,112,109,132,116,116.2,116.74
29,109,118,115,112,116,114,114.68
30,115,125,115,125,109,117.8,117.02
31,140,115,112,109,121,119.4,118.81
32,121,128,112,109,125,119,118.95
33,112,112,115,112,125,115.2,116.14
34,115,125,115,112,106,114.6,114.98
35,115,130,115,109,124,118.6,117.7
36,112,109,112,120,109,112.4,113.72
37,109,112,112,115,118,113.2,113.33
38,117,127,124,112,112,118.4,117.13
39,108,112,112,128,109,113.8,114.63
40,121,115,121,109,115,116.2,115.81
41,123,118,111,108,115,115,115.2
42,109,112,112,112,115,112,112.8
43,112,109,118,112,108,111.8,112.05
44,115,115,108,109,112,111.8,111.86
45,115,109,115,108,109,111.2,111.37
46,112,111,111,124,109,113.4,112.89
47,112,112,106,109,128,113.4,113.27
48,118,112,112,128,112,116.4,115.62
49,121,109,111,118,109,113.6,114.1
50,117,106,112,112,109,111.2,111.93
51,124,115,109,118,124,118,116.48
52,114,109,131,115,112,116.2,116.27
53,112,109,108,112,109,110,111.57
54,112,115,112,109,115,112.6,112.34
55,109,115,111,117,130,116.4,115.39
56,121,121,123,109,115,117.8,117.2
57,111,115,112,112,112,112.4,113.6
58,115,115,121,,106,114.25,114.09
59,115,115,,,,115,114.77
60,,,,,,,