,Bird-Group-Sign,,,,,,
,HONEST,,,,,,
,T1,T2,T3,T4,T5,AVG,EWMA
1,R,109,116,R,109,111.33,111.33
2,110,106,106,116,109,109.4,109.88
3,117,106,110,113,119,113,112.22
4,123,R,113,112,116,116,115.06
5,106,R,120,106,116,112,112.76
6,123,113,126,109,112,116.6,115.64
7,110,133,R,116,113,118,117.41
8,113,106,110,109,113,110.2,112
9,113,112,112,100,100,107.4,108.55
10,103,109,110,103,120,109,108.89
11,124,121,R,R,116,120.33,117.47
12,103,122,106,116,112,111.8,113.22
13,120,122,106,112,112,114.4,114.1
14,113,112,116,113,122,115.2,114.93
15,123,109,113,123,109,115.4,115.28
16,113,125,113,115,117,116.6,116.27
17,110,106,113,118,106,110.6,112.02
18,R,109,120,R,R,114.5,113.88
19,110,116,120,109,103,111.6,112.17
20,113,112,R,112,112,112.25,112.23
21,113,112,106,109,125,113,112.81
22,117,116,113,132,132,122,119.7
23,110,116,106,R,109,110.25,112.61
24,103,109,117,124,121,114.8,114.25
25,109,112,116,109,112,111.6,112.26
26,103,121,110,115,115,112.8,112.67
27,127,109,126,109,108,115.8,115.02
28,116,109,R,109,108,110.5,111.63
29,117,106,123,109,121,115.2,114.31
30,117,109,117,121,R,116,115.58
31,R,116,109,115,133,118.25,117.58
32,110,R,106,118,121,113.75,114.71
33,124,112,112,121,109,115.6,115.38
34,R,112,110,125,108,113.75,114.16
35,110,106,106,109,112,108.6,109.99
36,103,112,106,115,109,109,109.25
37,106,118,113,118,112,113.4,112.36
38,113,115,113,108,121,114,113.59
39,110,131,126,112,112,118.2,117.05
40,113,R,106,109,118,111.5,112.89
41,R,127,103,108,112,112.5,112.6
42,120,115,116,118,115,116.8,115.75
43,110,115,110,127,125,117.4,116.99
44,113,109,106,112,R,110,111.75
45,117,109,110,109,115,112,111.94
46,106,124,106,112,109,111.4,111.53
47,100,112,113,108,115,109.6,110.08
48,110,108,113,125,127,116.6,114.97
49,117,109,110,115,118,113.8,114.09
50,113,124,109,128,115,117.8,116.87
51,110,118,R,115,112,113.75,114.53
52,117,R,106,105,112,110,111.13
53,106,112,109,118,105,110,110.28
54,113,109,106,108,115,110.2,110.22
55,R,112,116,112,114,113.5,112.68
56,120,121,113,115,130,119.8,118.02
57,109,124,123,112,121,117.8,117.86
58,106,115,112,87.1,102,104.42,107.78
59,R,109,116,102,112,109.75,109.26
60,116,,112,,,114,112.81