RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,67.5,130,102,108,109,103.3,103.3,8.3,8.3,8.8,8.6,8.5,8.5,8.5
2,26.6,96.9,106,100,103,86.5,90.7,8.4,8.5,8.8,8.5,8.7,8.58,8.56
3,19.3,118,143,103,106,97.86,96.07,8.2,8.7,8.7,7.9,8.8,8.46,8.485
4,23.3,139,93.7,109,103,93.6,94.2175,7.9,8.9,8,6.2,8.5,7.9,8.04625
5,20,133,93.5,103,112,92.3,92.779375,7.7,9.1,7.6,6.2,8.1,7.74,7.8165625
6,32.2,115,94.4,106,103,90.12,90.78484375,7.6,9.2,7,6.4,7.1,7.46,7.549140625
7,36.6,124,87,100,106,90.72,90.73621094,7.2,9.4,6.7,6.3,6.4,7.2,7.287285156
8,26.6,118,90,100,100,86.92,87.87405273,6.5,9.1,6.8,5.8,6.3,6.9,6.996821289
9,18.7,124,116,116,106,96.14,94.07351318,6.4,8.6,6.4,5.7,6.4,6.7,6.774205322
10,25.8,121,118,119,112,99.16,97.8883783,6.3,8.6,5.6,5.7,6.6,6.56,6.613551331
11,28.1,136,70.2,50.8,88.8,74.78,80.55709457,5.6,8.8,5.4,5.8,6.3,6.38,6.438387833
12,41.9,133,100,96.7,74.4,89.2,87.03927364,5.7,9,5.6,6.1,5.5,6.38,6.394596958
13,38.7,142,106,103,106,99.14,96.11481841,5.8,9.2,6,4.9,5.6,6.3,6.32364924
14,32.2,130,103,90.6,96.8,90.52,91.9187046,5.8,9.3,6.1,5,5.9,6.42,6.39591231
15,29,136,109,115,112,100.2,98.12967615,5.9,9.5,5.3,5.2,5.5,6.28,6.308978077
16,58,136,106,100,100,100,99.53241904,5.9,9.7,5.5,5.4,4.8,6.26,6.272244519
17,51.6,127,122,112,100,102.52,101.7731048,6,8.9,5.3,5.5,4.9,6.12,6.15806113
18,25.8,118,100,87,87,83.56,88.11327619,6.1,8.7,5.5,5.7,5.1,6.22,6.204515282
19,34.3,93.9,67.7,80,80,71.18,75.41331905,6.2,8.8,5.6,5.9,5.2,6.34,6.306128821
20,38.7,93.9,66.6,54.8,64.5,63.7,66.62832976,6.3,8.9,5.9,6.2,5.6,6.58,6.511532205
21,35.4,100,60,56.6,71.8,64.76,65.22708244,6.4,9.1,6.2,6.3,5.9,6.78,6.712883051
22,32.2,106,83.8,70,71.8,72.76,70.87677061,6.5,9.4,6.4,5,6,6.66,6.673220763
23,28.1,100,67.7,54.5,63.3,62.72,64.75919265,6.6,9.6,6.6,5.2,6.2,6.84,6.798305191
24,31.2,100,70.9,87,96.7,77.16,74.05979816,6.7,9.7,6.8,5.3,6.4,6.98,6.934576298
25,51.5,90.9,68.7,96.6,106,82.74,80.56994954,6.8,9.9,7,5.6,6.6,7.18,7.118644074
26,46.8,100,83.8,87,100,83.52,82.78248739,7,10.1,5.4,5.8,5,6.66,6.774661019
27,35.4,93.9,61.2,76.6,103,74.02,76.21062185,7.1,9.8,5.6,5.9,5.2,6.72,6.733665255
28,50,93.9,87.5,77.4,87.5,79.26,78.49765546,7.2,9.8,5.7,6.1,5.5,6.86,6.828416314
29,40.6,75.6,81.2,93.5,100,78.18,78.25941387,7.2,9.8,6,6.2,5.6,6.96,6.927104078
30,40.6,93.9,93.5,100,90.3,83.66,82.30985347,7.2,9.9,6.1,6.3,5.8,7.06,7.02677602
31,48.4,78.7,100,109,93.7,85.96,85.04746337,7.2,9.2,6.3,6.5,6,7.04,7.036694005
32,48.4,96.9,96.8,93.5,87,84.52,84.65186584,7.2,9.4,6.5,6.7,6.1,7.18,7.144173501
33,51.5,96.9,84.8,90.6,96.7,84.1,84.23796646,7.2,9.6,6.7,6.2,6.3,7.2,7.186043375
34,45.4,75.7,90.6,90.3,93.7,79.14,80.41449162,7.2,9.8,6.8,5.2,6.5,7.1,7.121510844
35,40.6,81.8,84.3,103,87.8,79.5,79.7286229,7.2,9.9,7,5.3,6.7,7.22,7.195377711
36,42.4,90.9,90.9,103,93.9,84.22,83.09715573,7.2,10.1,7.2,5.5,6.9,7.38,7.333844428
37,54.5,96.9,93.7,93.7,109,89.56,87.94428893,5.6,10.3,6.7,5.6,6.4,6.92,7.023461107
38,45.4,90.9,93.7,93.7,75.7,79.88,81.89607223,5.7,9.8,5.5,5.8,5.2,6.4,6.555865277
39,48.4,115,90.6,93.7,75,84.54,83.87901806,5.8,9.8,5.6,6,5.4,6.52,6.528966319
40,51.5,126,125,133,118,110.7,103.9947545,6,9.9,5.8,6.2,5.5,6.68,6.64224158
41,48.4,132,128,127,112,109.48,108.1086886,6.1,10,6,6.3,5.7,6.82,6.775560395
42,47,121,139,115,121,108.6,108.4771722,6.2,9.2,6.2,6.5,5.9,6.8,6.793890099
43,54.5,118,117,125,115,105.9,106.544293,6.4,9.4,6.3,5.4,6,6.7,6.723472525
44,51.5,148,120,125,112,111.3,110.1110733,6.5,9.6,6.5,5.1,6.2,6.78,6.765868131
45,51.5,142,133,100,115,108.3,108.7527683,6.6,9.7,6.6,5.2,6.3,6.88,6.851467033
46,48.4,124,121,124,132,109.88,109.5981921,6.7,9.9,6.8,5.4,6.5,7.06,7.007866758
47,50,118,109,114,128,103.8,105.249548,6.9,9.1,6.2,5.6,6,6.76,6.82196669
48,51.5,112,100,105,127,99.1,100.637387,7,9.1,5.9,5.7,5.5,6.64,6.685491672
49,52.9,115,109,103,130,101.98,101.6443468,7,9.2,5.7,5.9,5.5,6.66,6.666372918
50,45.4,134,102,115,124,104.08,103.4710867,7,9,5.8,6.1,5.4,6.66,6.66159323
51,52.9,127,111,129,127,109.38,107.9027717,7,9.1,6,6.3,5.6,6.8,6.765398307
52,51.5,130,115,117,126,107.9,107.9006929,7,9.3,6.2,5.1,5.8,6.68,6.701349577
53,51.5,109,126,115,127,105.7,106.2501732,7,9.5,6.3,5.1,6,6.78,6.760337394
54,51.5,112,133,115,115,105.3,105.5375433,7,9.6,6.5,5.2,6.1,6.88,6.850084349
55,51.5,109,109,136,118,104.7,104.9093858,5.4,9.1,6.7,5.5,6.3,6.6,6.662521087
56,48.4,130,112,105,112,101.48,102.3373465,5.5,9.1,6.8,5.6,6.5,6.7,6.690630272
57,48.4,133,130,112,106,105.88,104.9943366,5.6,9.2,5.9,5.8,5.8,6.46,6.517657568
58,51.5,,118,126,121,104.125,104.3423342,5.7,,6,6,5.1,5.7,5.904414392